leg,index,emit_s,source_start_s,translate_ms,kind,text,naturalized
gemini,1,3.831,,,caption,Kamusta at maligayang,
gemini,2,4.525,,,caption, pagdating sa unang,
gemini,3,5.550,,,caption, pulong ng ating,
gemini,4,6.527,,,caption, conversational Tagalog,
gemini,5,7.534,,,caption, practice group.,
gemini,6,8.628,,,caption, Ang pangalan,
gemini,7,9.528,,,caption, ko ay Maria.,
gemini,8,10.545,,,caption, Ano,
gemini,9,11.541,,,caption, ang pangalan mo?,
gemini,10,12.542,,,caption, Magandang,
gemini,11,13.541,,,caption, umaga sa inyong,
gemini,12,14.537,,,caption, lahat.,
gemini,13,15.535,,,caption, Ngayon ay,
gemini,14,16.527,,,caption, mag-eensayo tayo,
gemini,15,17.526,,,caption, ng pagbati,
gemini,16,18.525,,,caption, at pagpapakilala.,
gemini,17,19.528,,,caption, Pakibuksan,
gemini,18,20.543,,,caption, ang inyong mga notebook,
gemini,19,21.535,,,caption, sa unang,
gemini,20,22.526,,,caption, pahina.,
gemini,21,23.531,,,caption, Salamat,
gemini,22,24.526,,,caption, sa pakikinig.,
gemini,23,25.527,,,caption, Magpapatuloy,
gemini,24,26.535,,,caption, tayo sa susunod,
gemini,25,27.622,,,caption, na linggo.,
gemini,26,28.540,,,caption, Tandaan,
gemini,27,29.532,,,caption, na magsalita,
gemini,28,30.535,,,caption, ng dahan-dahan at,
gemini,29,31.532,,,caption, malinaw.,
gemini,30,32.536,,,caption, At makinig nang mabuti,
gemini,31,33.544,,,caption, sa isa't isa.,
gemini,32,34.658,,,caption, Magsisimula,
gemini,33,35.652,,,caption, tayo sa mga,
gemini,34,36.529,,,caption, numero 1 hanggang,
gemini,35,37.533,,,caption," 10, pagkatapos",
gemini,36,38.529,,,caption, ay lilipat sa,
gemini,37,39.528,,,caption, mga araw ng linggo.,
gemini,38,40.521,,,caption, Magaling.,
gemini,39,41.533,,,caption, Magandang trabaho,
gemini,40,42.529,,,caption, sa inyong lahat.,
gemini,41,43.540,,,caption, Iyan ang katapusan,
gemini,42,44.520,,,caption, ng ating sesyon,
gemini,43,45.537,,,caption, sa pagsasanay ngayon.,
gemini,44,46.669,,,caption, Kamusta,
gemini,45,47.531,,,caption, at maligayang pagdating,
gemini,46,48.529,,,caption, sa unang pulong,
gemini,47,49.537,,,caption, ng ating conversational,
gemini,48,50.532,,,caption, Tagalog practice,
gemini,49,51.537,,,caption, group.,
gemini,50,52.528,,,caption, Ang pangalan,
gemini,51,53.560,,,caption, ko ay Maria.,
gemini,52,54.530,,,caption, Ano,
gemini,53,55.531,,,caption, ang pangalan mo?,
gemini,54,56.528,,,caption, Magandang,
gemini,55,57.528,,,caption, umaga sa inyong,
gemini,56,58.529,,,caption, lahat.,
gemini,57,59.537,,,caption, Ngayon ay,
gemini,58,60.534,,,caption, mag-eensayo tayo,
gemini,59,61.527,,,caption, ng pagbati,
gemini,60,62.531,,,caption, at pagpapakilala.,
gemini,61,63.522,,,caption, Pakibuksan,
gemini,62,64.526,,,caption, ang inyong mga notebook,
gemini,63,65.539,,,caption, sa unang,
gemini,64,66.534,,,caption, pahina.,
gemini,65,67.529,,,caption, Salamat,
gemini,66,68.531,,,caption, sa pakikinig.,
gemini,67,69.848,,,caption, Magpapatuloy,
gemini,68,71.031,,,caption, tayo sa susunod,
gemini,69,72.037,,,caption, na linggo.,
gemini,70,73.035,,,caption, Tandaan,
gemini,71,74.030,,,caption, na magsalita,
gemini,72,75.026,,,caption, ng dahan-dahan,
gemini,73,76.024,,,caption, at malinaw,
gemini,74,77.048,,,caption, at makinig nang mabuti,
gemini,75,78.025,,,caption, sa isa't isa.,
gemini,76,79.046,,,caption, Magsisimula,
gemini,77,80.045,,,caption, tayo sa mga,
gemini,78,81.055,,,caption, numero 1 hanggang,
gemini,79,82.020,,,caption," 10, pagkatapos",
gemini,80,83.029,,,caption, ay lilipat sa,
gemini,81,84.026,,,caption, mga araw ng linggo.,
gemini,82,85.025,,,caption, Magaling.,
gemini,83,86.276,,,caption, Magandang trabaho,
gemini,84,87.273,,,caption, sa inyong lahat.,
gemini,85,88.279,,,caption, Iyan ang katapusan,
gemini,86,89.279,,,caption, ng ating sesyon,

summary,leg,audio_s,first_caption_s,committed,updates,cadence_per120s,median_translate_ms,tail_after_feed_s,repeated_bigrams,duplicates,unterminated,proc_cpu_pct,worker_cpu_pct,peak_ram_mb,up_mb,down_mb,cost_usd,cost_usd_per_hour,connect_s,setup_s,error,naturalized_captions
,gemini,88.15,3.831,86,0,117.1,,1.132,102,0,60,0.5,,1226.1,4.00,5.69,0.0076,0.31,0.504,0.781,,
