leg,index,emit_s,source_start_s,translate_ms,kind,text,naturalized
argos,1,11.941,0.150,284,caption,"Ako si Alex, at ito ang kaibigan kong si Maya.",
argos,2,18.255,5.610,84,caption,Maligayang pagdating sa klase.,
argos,3,24.540,8.270,165,caption,Maganda ba ang dulo ng sanlinggo ninyo?,
argos,4,31.158,11.140,394,caption,Pag - usapan natin ngayon ang tungkol sa pang - araw - araw na mga plano at simpleng mga kahilingan.,
argos,5,37.102,16.330,120,caption,"Una, sino ang makapagsasabi sa akin ng oras?",
argos,6,43.000,19.880,87,caption,Halos 9.30.,
argos,7,49.207,22.580,292,caption,"Ang aking kaarawan ay pumapatak sa ika - 21 ng Disyembre, at ako'y 30 na lamang.",
argos,8,56.035,28.950,231,caption,Puwede mo bang ipasa sa akin ang mga nota mula sa pulong kahapon?,
argos,9,61.942,33.390,124,caption,"Totoo, narito ka.",
argos,10,67.943,36.360,111,caption,"Maraming salamat, talagang pinahahalagahan ko ito.",
argos,11,76.937,40.350,180,caption,Ang Green Valley Cooking Club ay nagpupulong tuwing Sabado sa Community Center.,
argos,12,86.772,45.880,194,caption,"Sinabi niya na dadalhin ng lalaki ang gitara nito, subalit hindi namin nakita ang pagdating nito.",
argos,13,93.607,51.230,245,caption,"Medyo masama ang pakiramdam ko ngayon, kaya madali lang.",
argos,14,99.766,56.500,145,caption,Nakagigitla ang birong sinabi mo noon.,
argos,15,105.668,60.400,96,caption,Hindi ko mapigil ang pagtawa.,
argos,16,111.937,62.970,169,caption,"Medyo nahuhuli na tayo, kaya pakisuyong pagtiisan mo kami.",
argos,17,119.329,68.300,167,caption,"Mag - ingat sa iyong pag - uwi, at makita ka agad.",
argos,18,125.168,73.130,118,caption,"Paminsan - minsan, kumain tayo.",
argos,19,130.847,76.550,100,caption,Mula nang kami'y mag - usap.,
argos,20,136.507,79.670,74,caption,Puwede ka bang magsalita nang kaunti?,
argos,21,142.144,82.280,126,caption,Ang projector ay medyo maingay ngayon.,
argos,22,148.065,85.480,234,caption,"O sige, para lang sa ngayon.",
argos,23,154.223,89.080,109,caption,"Salamat sa inyong pagdating, at mayroon po kayong isang malaking linggo.",

summary,leg,audio_s,first_caption_s,committed,updates,cadence_per120s,median_translate_ms,tail_after_feed_s,repeated_bigrams,duplicates,unterminated,proc_cpu_pct,worker_cpu_pct,peak_ram_mb,up_mb,down_mb,cost_usd,cost_usd_per_hour,connect_s,setup_s,error,naturalized_captions
,argos,92.85,11.941,23,26,29.7,145,,2,0,0,0.6,31.4,1126.9,,,,,,,,0
