leg,index,emit_s,source_start_s,translate_ms,kind,text,naturalized
gemini,1,3.788,,,caption,Hi sa lahat.,
gemini,2,4.479,,,caption, Ako si Alex,
gemini,3,5.473,,,caption, at ito ang,
gemini,4,6.478,,,caption, kaibigan kong si Maya.,
gemini,5,7.474,,,caption, Maligayang,
gemini,6,8.486,,,caption, pagbabalik sa,
gemini,7,9.475,,,caption, klase.,
gemini,8,10.476,,,caption, Nagkaroon ba,
gemini,9,11.474,,,caption, kayo ng magandang,
gemini,10,12.485,,,caption, weekend?,
gemini,11,13.486,,,caption, Ngayon pag-usapan,
gemini,12,14.479,,,caption, natin ang mga,
gemini,13,15.473,,,caption, pang-araw-araw,
gemini,14,16.491,,,caption, na plano at,
gemini,15,17.493,,,caption, simpleng kahilingan.,
gemini,16,18.473,,,caption," Una,",
gemini,17,19.483,,,caption, sino ang makakapagsabi,
gemini,18,20.486,,,caption, sa akin ng oras?,
gemini,19,21.507,,,caption, Ito,
gemini,20,22.479,,,caption, ay halos,
gemini,21,23.490,,,caption, 9:30.,
gemini,22,24.487,,,caption, Ang kaarawan,
gemini,23,25.486,,,caption, ko ay sa,
gemini,24,26.475,,,caption, ika-21,
gemini,25,27.491,,,caption, ng Disyembre.,
gemini,26,28.479,,,caption, At,
gemini,27,29.490,,,caption, nag-30 na ako.,
gemini,28,30.484,,,caption, Pwede,
gemini,29,31.479,,,caption, mo bang ipasa,
gemini,30,32.475,,,caption, ang mga notes,
gemini,31,33.497,,,caption, mula sa meeting kahapon?,
gemini,32,35.481,,,caption, Sige.,
gemini,33,36.479,,,caption, Heto.,
gemini,34,38.488,,,caption, Maraming,
gemini,35,39.489,,,caption, salamat.,
gemini,36,40.484,,,caption, Talagang,
gemini,37,41.473,,,caption, naa-appreciate ko.,
gemini,38,42.487,,,caption, Ang Green,
gemini,39,43.483,,,caption, Valley Cooking,
gemini,40,44.479,,,caption, Club ay nagpupulong,
gemini,41,45.476,,,caption, tuwing Sabado,
gemini,42,46.479,,,caption, sa community center.,
gemini,43,47.478,,,caption, Siya,
gemini,44,48.481,,,caption, ay nagsabing dadalhin,
gemini,45,49.490,,,caption, niya ang kanyang gitara.,
gemini,46,50.491,,,caption, Pero,
gemini,47,51.487,,,caption, hindi namin nakita,
gemini,48,52.484,,,caption, na dumating.,
gemini,49,53.488,,,caption, Medyo,
gemini,50,54.476,,,caption, masama ang pakiramdam,
gemini,51,55.481,,,caption," ko ngayon,",
gemini,52,56.579,,,caption, kaya magpapahinga,
gemini,53,57.486,,,caption, na lang ako.,
gemini,54,58.482,,,caption, Ang biro,
gemini,55,59.491,,,caption, na sinabi mo kanina,
gemini,56,60.498,,,caption, ay nakakatawa.,
gemini,57,62.485,,,caption, Hindi ko mapigilan,
gemini,58,63.481,,,caption, ang pagtawa.,
gemini,59,64.476,,,caption, Ano,
gemini,60,65.490,,,caption, medyo nahuhuli,
gemini,61,66.485,,,caption, na tayo sa iskedyul.,
gemini,62,67.480,,,caption, Kaya,
gemini,63,68.484,,,caption, pasensya na muna,
gemini,64,69.730,,,caption, kayo sa amin.,
gemini,65,70.975,,,caption, Mag-ingat,
gemini,66,71.738,,,caption, ka sa pag-uwi.,
gemini,67,72.976,,,caption, at magkita,
gemini,68,73.983,,,caption, tayo ulit sa lalong,
gemini,69,74.733,,,caption, madaling panahon.,
gemini,70,75.730,,,caption, Mag-usap,
gemini,71,76.750,,,caption, tayo sa tanghalian,
gemini,72,77.734,,,caption, minsan.,
gemini,73,78.731,,,caption, Matagal,
gemini,74,79.734,,,caption, na simula nung,
gemini,75,80.720,,,caption, nag-usap tayo.,
gemini,76,81.983,,,caption, Pwede,
gemini,77,82.988,,,caption, mo bang lakasan,
gemini,78,83.980,,,caption, nang kaunti?,
gemini,79,84.733,,,caption, Ang projector,
gemini,80,85.735,,,caption, ay medyo maingay,
gemini,81,86.725,,,caption, ngayon.,
gemini,82,87.731,,,caption," Sige,",
gemini,83,88.738,,,caption, yun lang,
gemini,84,89.739,,,caption, para sa araw na ito.,
gemini,85,90.726,,,caption, Salamat,
gemini,86,91.735,,,caption, sa pagpunta.,
gemini,87,92.982,,,caption, at magandang,
gemini,88,93.478,,,caption, linggo sa inyo.,

summary,leg,audio_s,first_caption_s,committed,updates,cadence_per120s,median_translate_ms,tail_after_feed_s,repeated_bigrams,duplicates,unterminated,proc_cpu_pct,worker_cpu_pct,peak_ram_mb,up_mb,down_mb,cost_usd,cost_usd_per_hour,connect_s,setup_s,error,naturalized_captions
,gemini,92.85,3.788,88,0,113.7,,0.630,6,0,57,0.4,,41.9,4.21,5.79,0.0081,0.31,0.511,0.809,,
