leg,index,emit_s,source_start_s,translate_ms,kind,text
argos,1,13.530,0.150,314,caption,Hello at malugod na tanggapin sa unang pulong ng aming Conversional Tagalog Practice Group.
argos,2,18.791,6.400,93,caption,Ang pangalan ko ay Maria.
argos,3,21.463,8.750,77,caption,Ano ang pangalan mo?
argos,4,26.970,10.830,94,caption,Magandang umaga lahat.
argos,5,32.760,13.280,241,caption,Sa ngayon ay magsasanay tayo ng mga pagbati at pambungad.
argos,6,38.518,17.460,179,caption,Pakisuyong buksan ang inyong mga kuwaderno sa unang pahina.
argos,7,44.064,21.400,125,caption,Salamat sa inyong pakikinig.
argos,8,47.032,23.860,181,caption,Makikita ka namin sa susunod na linggo.
argos,9,53.572,26.540,233,caption,"Tandaan na magsalita nang mabagal at malinaw, at makinig na mabuti sa isa't isa."
argos,10,63.369,32.610,240,caption,"Magsisimula tayo sa numerong 1 hanggang 10, pagkatapos ay lilipat tayo sa mga araw ng sanlinggo."
argos,11,72.537,38.790,196,caption,"Dakilang gawa ang lahat, iyan ang wakas ng kasalukuyang sesyon ng pagsasanay."
argos,12,81.735,44.230,390,caption,Hello at malugod na tanggapin sa unang pulong ng aming grupong nag - uusap - usap na tangalog.
argos,13,87.288,50.470,77,caption,Ang pangalan ko ay Maria.
argos,14,90.084,52.820,71,caption,Ano ang pangalan mo?
argos,15,95.692,54.900,82,caption,Magandang umaga lahat.
argos,16,102.032,57.350,176,caption,Sa ngayon ay magsasanay tayo ng mga pagbati at pambungad.
argos,17,107.826,61.530,225,caption,Pakisuyong buksan ang inyong mga kuwaderno sa unang pahina.
argos,18,110.709,65.480,94,caption,Salamat sa inyong pakikinig.
argos,19,116.677,67.940,154,caption,Makikita ka namin sa susunod na linggo.
argos,20,122.679,70.620,242,caption,"Tandaan na magsalita nang mabagal at malinaw, at makinig na mabuti sa isa't isa."
argos,21,132.171,76.690,192,caption,"Magsisimula tayo sa numerong 1 hanggang 10, pagkatapos ay lilipat tayo sa mga araw ng sanlinggo."
argos,22,142.079,82.860,162,caption,"Dakilang gawa ang lahat, iyan ang wakas ng kasalukuyang sesyon ng pagsasanay."
gemini,1,3.630,,,caption,Kamusta at maligayang
gemini,2,4.312,,,caption, pagdating sa unang
gemini,3,5.316,,,caption, pulong ng ating
gemini,4,6.402,,,caption, conversational Tagalog
gemini,5,7.402,,,caption, practice group.
gemini,6,8.399,,,caption, Ang pangalan
gemini,7,9.438,,,caption, ko ay Maria.
gemini,8,10.399,,,caption, Ano
gemini,9,11.400,,,caption, ang pangalan mo?
gemini,10,12.313,,,caption, Magandang
gemini,11,13.304,,,caption, umaga sa inyong
gemini,12,14.411,,,caption, lahat.
gemini,13,15.305,,,caption, Ngayon ay
gemini,14,16.339,,,caption, mag-eensayo tayo
